Company_Name,ticker,gvkey,naics,company_id
CROWN,CCK,3619,332431,45300
CTS,CTS,2577,33441,6117
CTS,CTS,2577,33441,153450
CUBIC,CUB,3639,333318,153454
CUMMINS,CMI,3650,333618,15706
CYBEROPTICS,CYBE,14108,333314,129184
CYPRESS SEMICONDUCTOR,CY,12215,334413,1219
CYRUSONE,CONE,16116,531120,35946
DANAHER,DHR,3735,334516,357
DATA I/O,DAIO,3761,334515,129238
DELUXE,DLX,3863,3231,131620
DEXCOM,DXCM,162887,334510,11944
DIGI,DGII,16710,334210,11331
DIGITAL REALTY TRUST,DLR,160991,531120,24357
DIGITAL REALTY TRUST,DLR,160991,531120,24357
DIODES,DIOD,3969,334413,1374
DOMTAR,UFS,176760,322121,9042
DONALDSON,DCI,4036,336390,12247
DOVER,DOV,4058,333415,2149
DOW,DOW,34443,325211,310
DTE ENERGY,DTE,3897,2211,43011
DUCOMMUN,DCO,4091,336413,29582
DUKE ENERGY,DUK,4093,2211,34975
DUKE REALTY,DRE,13510,531120,153584
DUKE REALTY,DRE,13510,531120,153584
DXP,DXPE,64223,423840,136771
EACO,EACO,184580,423690,45485
EASTMAN CHEMICAL,EMN,29392,325211,145398
EATON,ETN,4199,335314,4453
EBIX,EBIX,13480,511210,22661
ECHOSTAR,SATS,179202,334220,153611
ECOLAB,ECL,4213,325612,759
EDWARDS LIFESCIENCES,EW,133366,339113,150225
ELBIT SYSTEMS,ESLT,65380,541512,29615
ELTEK,ELTK,64278,334412,16747
EMBRAER,ERJ,213288,336411,29629
EMCOR GROUP,EME,6223,238210,46102
EMCORE,EMKR,64637,334413,13323
EMCORE,EMKR,64637,334413,152673
EMERGENT BIOSOLUTIONS,EBS,176022,325414,131463
ENCISION,ECIA,63122,334510,134378
ENERGIZER,ENR,23083,335912,3907
ENERSYS,ENS,160893,335911,46157
ENGIE,ENGIY,220942,2211,137053
ENNIS,EBF,4390,323111,21991
ENNIS,EBF,4390,323111,26792
ENPRO INDUSTRIES,NPO,148950,339991,132436
ENSIGN GROUP,ENSG,178803,623110,137066
ENTEGRIS,ENTG,137573,333242,832
ENTERPRISE GROUP,ETOLF,161789,237120,36025
ENZO BIOCHEM,ENZ,4418,621511,137085
EPLUS,PLUS,63986,423430,46176
EQUINIX,EQIX,138743,531120,33086
EQUITYMMONWEALTH,EQC,13579,531120,153699
EQUITYMMONWEALTH,EQC,13579,531120,153699
ESCO TECHNOLOGIES,ESE,23224,334515,6063
ESPEY MFG & ELECTRONICS,ESP,4450,334419,153710
EVERSPIN TECHNOLOGIES,MRAM,28087,334413,11932
EVOLVING SYSTEMS,EVOL,110529,541511,34938
EXCO TECHNOLOGIES,EXCOF,20392,333514,2327
EXELON,EXC,8539,22111,153732
EXFO,EXFO,137377,334515,46149
EXPONENT,EXPO,23027,541614,153736
F5 NETWORKS,FFIV,121077,541512,128
FABRINET,FN,179583,3344,10202
FARMER BROTHERS,FARM,4579,311920,45307
FARO TECHNOLOGIES,FARO,65421,334519,153758
FASTENAL,FAST,14225,423,3913
FEDERAL SIGNAL,FSS,4608,336120,144036
FEDEX,FDX,4598,492110,96
FERGUSON,FERGY,100644,423720,137331
FERGUSON,FERGY,100644,423720,141680
FERRO,FOE,4622,325510,5383
FINISAR,FNSR,126417,333316,2188
FINISAR,FNSR,126417,333316,133894
FIRAN TECHNOLOGY GROUP,FTGFF,20483,334413,12535
FIRST DATA,FDC,25157,518210,34927
FIRST SOLAR,FSLR,175404,334413,19150
FISERV,FISV,12635,518210,33193
FLEX,FLEX,30170,334412,42360
FLIR SYSTEMS,FLIR,28477,334511,2373
FLOWSERVE,FLS,4108,333914,19149
FLUOR,FLR,4818,237990,33061
FMC,FMC,4510,325320,435
FORMFACTOR,FORM,148390,334515,27674
FORRESTER RESEARCH,FORR,64061,541910,34925
FORTIVE,FTV,26590,334519,42907
FORTIVE,FTV,26590,334519,137488
FRONTIERMMUNICATIONS,FTR,135484,517311,46116
FUJITSU,FJTSY,18467,541512,1750
GARDNER DENVER,GDI,30098,333912,8737
GARMIN,GRMN,141459,334511,1938
GARTNER,IT,12441,541910,33244
GCP APPLIED TECHNOLOGIES,GCP,26812,325194,47103
GENERAL DYNAMICS,GD,5046,336411,11918
GENERAL ELECTRIC,GE,5047,999977,331
GENERAL MOTORS,GM,5073,33611,2220
GENTEX,GNTX,5116,336390,1965
GENTEX,GNTX,5116,336390,2376
GENTHERM,THRM,28408,336390,2256
GERDAU,GGB,111941,331110,16056
GERDAU,GGB,111941,331110,22403
GILEAD SCIENCES,GILD,24856,325414,43163
GLATFELTER,GLT,5179,322121,6618
GLAXOSMITHKLINE,GSK,5180,325412,125023
GOGO,GOGO,170384,517919,144130
GOLDEN ENTERTAINMENT,GDEN,117036,713210,141708
GOODFELLOW,GFELF,18582,423310,14796
GOODYEAR TIRE & RUBBER,GT,5234,326211,21547
GP STRATEGIES,GPX,7759,611430,20320
GRAFTECH,EAF,61153,335991,13014
GRAHAM,GHC,11300,611691,43624
GRAHAM,GHM,5254,333415,43624
GRAPHIC PACKAGING HOLDING,GPK,25389,322212,45298
GSI TECHNOLOGY,GSIT,160213,334413,10532
HALOZYME THERAPEUTICS,HALO,151630,325414,150513
HARTE HANKS,HHS,12545,541860,81
HAWKINS,HWKN,5530,424690,2553
HAYNES,HAYN,23587,331110,144188
HD SUPPLY,HDS,17812,42,153948
HEICO,HEI,5567,336412,10735
HENRY SCHEIN,HSIC,61494,423450,5824
HESS,HES,1380,2111,794
HEXCEL,HXL,5608,325211,29605
HEXION,0141A,2316,325199,2795
HIGHPOWER,HPJ,180249,335911,39948
HILTON WORLDWIDE,HLT,5643,721110,39040
HITACHI,HTHIY,5650,33411,2117
HOLLYFRONTIER,HFC,5667,324110,45327
HONDA MOTOR,HMC,5691,336111,4342
HONEYWELL,HON,1300,336413,375
HP,HPQ,5606,33411,2135
HUDSON TECHNOLOGIES,HDSN,30899,562211,5845
HUNTSMAN,HUN,162401,3251,2296
HUNTSMAN,HUN1,148256,325,2296
ICU MEDICAL,ICUI,25110,339112,792
IDEX,IEX,15267,333914,126979
IDT,IDT,62396,517311,143301
IEC ELECTRONICS,IEC,5831,334412,5925
IEH,IEHC,5932,334417,12591
IHEARTMEDIA,IHRT,3105,515112,129455
IHS MARKIT,INFO,162906,519130,46140
ILLINOIS TOOL WORKS,ITW,5878,33399,138065
ILLUMINA,ILMN,138205,334516,41909
INFINERA,INFN,177257,334118,30715
INGEVITY,NGVT,27119,3251,39134
INGREDION,INGR,66016,311221,495
INNOPHOS,IPHS,174567,325180,3062
INNOSPEC,IOSP,110566,325180,150711
INPHI,IPHI,185112,334413,3268
INSEEGO,INSG,141178,334210,129265
INSIGHT,NSIT,31453,423430,6012
INSIGHT,NSIT,31453,423430,10099
INSULET,PODD,177227,334510,13830
INTEGER,ITGR,140073,334510,6774
INTEL,INTC,6008,334413,324
INTRICON,IIN,9590,334510,4123
IONIS PHARMACEUTICALS,IONS,24040,325412,3009
IQVIA,IQV,17928,54171,150749
IRIDIUMMMUNICATIONS,IRDM,183640,517410,154116
IRON MOUNTAIN,IRM,62374,531120,33399
ITT,ITT,5860,333914,7250
ITT,ITT,5860,333914,20481
ITT,ITT,5860,333914,132721
JABIL,JBL,28195,334412,4085
JACOBS ENGINEERING GROUP,JEC,6216,236210,134498
JOHNSON & JOHNSON,JNJ,6266,325412,2956
KADANT,KAI,25922,333243,19548
KAISER ALUMINUM,KALU,24293,331318,23493
KAMAN,KAMN,6326,423840,129394
KAMAN,KAMN,6326,423840,144356
KEMET,KEM,25848,334416,4077
KEY TRONIC,KTCC,6416,334418,5871
KEYSIGHT TECHNOLOGIES,KEYS,20232,334515,30227
KIMBALL ELECTRONICS,KE,20692,334413,14756
KIMBERLY-CLARK,KMB,6435,322121,651
KINDER MORGAN,KMI,6310,486210,150881
KLX,KLXI,22343,423860,138459
KNOLL,KNL,64745,337214,39013
KNOWLES,KN,19518,334419,2673
KORN FERRY,KFY,118267,561311,37682
KRATON,KRA,166230,325211,1142
KRATOS DEFENSE & SECURITY,KTOS,126056,541512,154274
KROGER,KR,6502,445110,150910
KVH INDUSTRIES,KVHI,62549,517410,154280
KYOCERA,KYOCY,6512,334413,1646
L3 TECHNOLOGIES,LLL,110685,334511,144412
LAM RESEARCH,LRCX,6565,333242,7839
LANDEC,LNDC,62169,311421,150946
LAWSON PRODUCTS,LAWS,6617,423710,34305
LEAR,LEA,16477,336360,2001
LEAR,LEA,16477,336360,26233
LEE,LEE,6639,511110,21554
LEGGETT & PLATT,LEG,6649,337910,17887
LEIDOS,LDOS,165123,541512,142145
LGL GROUP,LGL,6848,334419,154318
LINAMAR,LIMAF,20561,336390,2415
LINDE,LIN,25124,325120,368
LITTELFUSE,LFUS,25747,335313,1435
LKQ,LKQ,155394,423140,46636
LOCKHEED MARTIN,LMT,6774,336414,29635
LORAL SPACE &MMUNICATIONS,LORL,62640,515210,154344
LSB INDUSTRIES,LXU,6528,325180,151011
LSCMMUNICATIONS,LKSD,27802,323111,146025
LSI INDUSTRIES,LYTS,6527,335122,7770
LUMENTUM,LITE,23249,334210,7260
LUMINEX,LMNX,133504,325413,9093
LYDALL,LDL,6845,336390,20044
MACROGENICS,MGNX,18658,325414,151035
MAGAL SECURITY SYSTEMS,MAGS,28385,334290,154371
MAGELLAN AEROSPACE,MALJF,4763,336413,19251
MAGNA,MGA,6946,336390,2000
MANPOWERGROUP,MAN,14370,561320,269
MARATHON OIL,MRO,7017,2111,151063
MARKEL,MKL,12909,524126,12324
MARKEL,MKL,12909,524126,12324
MASCO,MAS,7085,332913,5649
MATERION,MTRN,2448,331410,5807
MAXIMEGRATED PRODUCTS,MXIM,14256,334413,1573
MAXIMEGRATED PRODUCTS,MXIM,14256,334413,131064
MCGRATH RENTCORP,MGRC,7161,532420,39232
MEDIDATA SOLUTIONS,MDSO,182308,519130,37679
MEDPACE,MEDP,19998,54171,151133
MEDTRONIC,MDT,7228,334510,5798
MELLANOX TECHNOLOGIES,MLNX,176363,334413,2177
MERCURY SYSTEMS,MRCY,66393,334413,154447
MERIDIAN BIOSCIENCE,VIVO,12433,325413,131762
MERIT MEDICAL SYSTEMS,MMSI,21777,339112,5755
MERITOR,MTOR,65399,336330,19474
METLIFE,MET,133768,524113,46260
METLIFE,MET,133768,524113,46260
MGP INGREDIENTS,MGPI,14891,312140,2830
MICRON TECHNOLOGY,MU,7343,334413,1391
MILACRON,MCRN,23569,333249,5363
MINERALS TECHNOLOGIES,MTX,25870,325180,132924
MISONIX,MSON,24890,339112,151198
MISTRAS GROUP,MG,180229,541330,144576
MKS INSTRUMENTS,MKSI,119275,334513,25331
MOBILE MINI,MINI,29734,532490,154531
MODINE MANUFACTURING,MOD,7486,336390,23741
MOHAWK INDUSTRIES,MHK,25119,314110,18127
MONOLITHIC POWER SYSTEMS,MPWR,160888,334413,1394
MORGAN STANLEY,MS,12124,523110,39090
MORGAN STANLEY,MS,12124,523110,39090
MORNINGSTAR,MORN,160373,519130,22683
MOSYS,MOSY,141278,334413,31051
MSAFETY,MSA,7420,339113,144606
MTS SYSTEMS,MTSC,6900,334519,141822
MYERS INDUSTRIES,MYE,7636,326199,132953
MYLAN,MYL,7637,325412,76
NANOMETRICS,NANO,7682,334519,27652
NATIONAL GRID,NGG,211819,2211,154604
NATIONAL INSTRUMENTS,NATI,31607,511210,11464
NATIONAL OILWELL VARCO,NOV,63892,333132,132963
NAVISTAR,NAV,6081,336120,22887
NCR,NCR,7648,54151,10867
NEENAH PAPER,NP,162264,322121,19688
NEOGEN,NEOG,16453,325412,40497
NEOPHOTONICS,NPTN,184702,334413,10042
NESTLE,3NSRGY,16603,311,139284
NETLIST,NLST,176035,334413,7268
NEWELL BRANDS,NWL,7875,3399,132976
NEWMARKET,NEU,4462,325180,132978
NEWPARK RESOURCES,NR,7882,424690,145601
NEXEO SOLUTIONS,NXEO,20619,4246,505
NEXSTAR MEDIA GROUP,NXST,149177,515120,154656
NEXTERA ENERGY,NEE,4517,22111,46346
NIDEC,NJDCY,221821,335312,7114
NISOURCE,NI,7974,221210,154668
NN,NNBR,29894,332991,11656
NOBLE,NE,11925,213111,4474
NOMURA,NMR,15613,523110,132991
NORDSON,NDSN,7921,333999,1026
NORFOLK SOUTHERN,NSC,7923,482111,132994
NORTHERN TRUST,NTRS,7982,522110,27392
NORTHERN TRUST,NTRS,7982,522110,27392
NORTHROP GRUMMAN,NOC,7985,334511,11555
NOVANTA,NOVT,61356,334419,131789
NOVELIS,HND1,162701,331315,18847
NUANCEMMUNICATIONS,NUAN,61685,511210,2285
NUCOR,NUE,8030,331110,16251
NUTRIEN,NTR,16582,325311,152538
NVE,NVEC,21743,334413,12692
NVIDIA,NVDA,117768,334413,3335
NXP SEMICONDUCTORS,NXPI,184725,334413,154702
OCCIDENTAL PETROLEUM,OXY,8068,2111,47013
OCLARO,OCLR,133944,334413,10802
OFFICE DEPOT,ODP,14624,453210,18474
OLIN,OLN,8123,325180,2823
OLYMPIC STEEL,ZEUS,29870,423510,23818
OMNICOM GROUP,OMC,4066,541810,46199
ON SEMICONDUCTOR,ON,134932,334413,127049
ON SEMICONDUCTOR,ON,134932,334413,1369
ONEX,ONEXF,14326,523999,154746
ONEX,ONEXF,14326,523999,154746
ORION ENGINEERED CARBONS,OEC,20420,325180,27404
OSHKOSH,OSK,11721,336120,154771
OSIRIS THERAPEUTICS,OSIR,174648,325414,41524
OTTER TAIL,OTTR,8199,22111,5753
OWENSRNING,OC,8214,327993,23350
PACKAGING OF AMERICA,PKG,128978,322211,130283
PANASONIC,PCRFY,7114,335,1570
PATRICK INDUSTRIES,PATK,8386,321211,157122
PBF ENERGY,PBF,196159,324110,139439
PCM,PCMI,31674,454110,10205
PCNNECTION,CNXN,66586,454110,46070
PCTEL,PCTI,125014,334220,1633
PENTAIR,PNR,8463,333914,7086
PERKINELMER,PKI,4145,334516,35622
PERRIGO,PRGO,24782,325412,152408
PFIZER,PFE,8530,325412,5198
PGI,PGAI,8824,531390,873
PHILLIPS 66,PSX,170841,324110,21333
PITNEY BOWES,PBI,8606,333318,13812
POLARIS,PII,14311,336999,15651
POLYONE,POL,28194,325211,723
POLYONE,POL,28194,325211,139626
POLYONE,POL,28194,325211,148179
POSCO,PKX,104598,331110,2457
POWEREGRATIONS,POWI,66032,334413,12454
PPG INDUSTRIES,PPG,8247,325510,2205
PRECISION OPTICS,PEYE,24842,334510,152499
PREMIER,PINC,18624,424210,33864
PRESIDIO,PSDO,185894,54151,130001
PROGRESS SOFTWARE,PRGS,24352,511210,33255
PROTO LABS,PRLB,187696,333249,3990
PTC,PTC,18699,511210,12226
PTC,PTC,18699,511210,33007
PTC THERAPEUTICS,PTCT,174134,325414,41525
QAD,QADA,65226,519130,139923
QIAGEN,QGEN,63186,334516,37131
QORVO,QRVO,64853,334413,9788
QUAKER CHEMICAL,KWR,8850,324191,133103
QUALCOMM,QCOM,24800,334413,1512
QUANTUM,QMCO,8867,334112,126
QUEST DIAGNOSTICS,DGX,64166,621511,397
QUEST SOLUTION,QUES,155894,54151,6517
QUIDEL,QDEL,7526,325413,131840
QWEST,Q1,148998,517311,38866
RADWARE,RDWR,125074,334118,19885
RAMBUS,RMBS,64766,533110,143297
RAVEN INDUSTRIES,RAVN,8958,326113,5400
RAYONIER,RYN,5862,531190,9148
RAYONIER,RYN,5862,531190,9148
RAYTHEON,RTN,8972,334511,11000
RBC BEARINGS,ROLL,164557,332991,14737
RED HAT,RHT,122841,511210,2282
REGAL BELOIT,RBC,9016,335312,30777
RELIANCE STEEL & ALUMINUM,RS,30671,423510,7035
REPLIGEN,RGEN,12181,325414,605
REPSOL,REPYY,15319,324110,92
REPUBLIC SERVICES,RSG,112168,562111,133134
REXNORD,RXN,180474,332991,144832
RICHARDSON ELECTRONICS,RELL,9125,423690,12216
RICOH,RICOY,9135,333316,1759
ROCKWELL AUTOMATION,ROK,9203,335314,3316
ROCKWELLLLINS,COL,144066,336413,29624
ROGERS,ROG,9216,334412,4763
ROLLINS,ROL,9225,561710,152252
ROPER TECHNOLOGIES,ROP,24925,334513,140163
ROSETTA STONE,RST,180905,519130,141896
ROUTE1,ROIUD,65998,334220,155092
RPM,RPM,8902,325998,140173
RTI SURGICAL,RTIX,138707,339113,42460
RUDOLPH TECHNOLOGIES,RTEC,126423,334513,27647
RYDER SYSTEM,R,9299,532120,9478
SANMINA,SANM,28139,334412,142294
SANOFI,SNY,101204,325412,592
SAPIENS,SPNS,28384,511210,37291
SASOL,SSL,100465,324110,9076
SBAMMUNICATIONS,SBAC,121382,531190,46151
SCANSOURCE,SCSC,29910,423430,32576
SEALED AIR,SEE,9555,326113,3143
SEALED AIR,SEE,9555,326113,134622
SEARS,SHLDQ,6307,452111,17082
SEATTLE GENETICS,SGEN,141460,325414,131471
SEMPRA ENERGY,SRE,8272,22111,155172
SEMTECH,SMTC,9599,334413,1442
SENECA FOODS,SENEA,8582,311421,45305
SENSIENT TECHNOLOGIES,SXT,11012,325199,276
SERVICENOW,NOW,171007,511210,84
SHARP,SHCAY,100699,334310,374
SHAWCOR,SAWLF,9647,332812,15624
SIEMENS,SIEGY,19349,999977,1180
SIERRA WIRELESS,SWIR,120334,334418,7388
SIGMA DESIGNS,SIGM,12234,334413,10356
SIGMATRON,SGMA,29698,334412,17637
SILGAN,SLGN,64389,332431,143374
SILICOM,SILC,30030,334118,12438
SILICON LABORATORIES,SLAB,133288,334413,1463
SILICON MOTION,SIMO,164211,334413,1668
SKYWORKS SOLUTIONS,SWKS,1327,334413,1456
SMITH & NEPHEW,SNN,101317,339113,152060
SNAP-ON,SNA,9778,332216,19144
