company_name,ticker,naics,gvkey
BRINKER INTL INC,EAT,722511,3007
CHURCH & DWIGHT INC,CHD,325611,3026
CHURCHILL DOWNS INC,CHDN,713210,3028
CINCINNATI BELL INC,CBB,517311,3036
DUKE ENERGY OHIO INC,CIN1,2211,3039
CINTAS CORP,CTAS,812331,3062
IHEARTMEDIA INC,IHRT,515112,3105
CLEVELAND-CLIFFS INC,CLF,212210,3107
CLOROX CO/DE,CLX,325612,3121
COCA COLA CONSOLIDATED INC,COKE,312111,3138
COCA-COLA CO,KO,312111,3144
COEUR MINING INC,CDE,21222,3153
COHERENT INC,COHR,334516,3157
COHU INC,COHU,334515,3158
ONCOMED PHARMACEUTICALS,OMED,325414,3169
COLGATE-PALMOLIVE CO,CL,325611,3170
CCOM GROUP INC,CCOM,423730,3184
COLORADO INTERSTATE GAS CO,CGP1,221210,3198
CHASE CORP,CCF,325520,3203
AON PLC,AON,524210,3221
AON PLC,AON,524210,3221
COMCAST CORP,CMCSA,515210,3226
COMERICA INC,CMA,522110,3231
COMERICA INC,CMA,522110,3231
COMMERCE BANCSHARES INC,CBSH,522110,3238
COMMERCE BANCSHARES INC,CBSH,522110,3238
CITIGROUP INC,C,522110,3243
CITIGROUP INC,C,522110,3243
COMMERCIAL METALS,CMC,331110,3246
COMMUNICATIONS SYSTEMS INC,JCS,334210,3275
AVIS BUDGET GROUP INC,CAR,532111,3278
CA INC,CA,511210,3310
DXC TECHNOLOGY CO,DXC,541512,3336
COMPUTER TASK GROUP INC,CTG,541519,3342
COMTECH TELECOMMUN,CMTL,334220,3358
CONAGRA BRANDS INC,CAG,31142,3362
RAVE RESTAURANT GROUP INC,RAVE,533110,3369
SHUTTERSTOCK INC,SSTK,519130,3382
CONNECTICUT LIGHT & POWER CO,NU1,2211,3392
CONNECTICUT WATER SVC INC,CTWS,221310,3394
TRANSCONTINENTAL RLTY INVS,TCI,531110,3410
TRANSCONTINENTAL RLTY INVS,TCI,531110,3410
CONSOLIDATED EDISON INC,ED,22111,3413
BIGLARI HOLDINGS INC,BH,722511,3424
CONSOLIDATED TOMOKA LAND CO,CTO,5311,3429
CONSOLIDATED TOMOKA LAND CO,CTO,5311,3429
CMS ENERGY CORP,CMS,22111,3439
CONTINENTAL MATERIALS CORP,CUO,333415,3465
CONTINENTAL RESOURCES INC,CLR,211120,3469
COOPER TIRE & RUBBER CO,CTB,326211,3502
COOPER COS INC (THE),COO,339115,3504
