company_name,company_id
PRECISION PLASTICS,882
BARIL CORPORATION,883
GW PLASTICS,891
INNOVIZE,894
JARDEN,897
CLASSIC INDUSTRIES,898
SUPERIOR,904
SUPPLYONE,905
SEALING DEVICES,909
UNICORR PACKAGING,911
ZATKOFF,913
ETIGAM B.V.,914
ERIKS,916
WBC EXTRUSION,917
AHLSTROM FILTRATION,920
STEPHEN GOULD,921
DEL THO INDUSTRIES,922
PACKAGING SOLUTIONS,925
ACF COMPONENTS AND FASTENERS,935
CUMBERLAND ELECTRONIC,937
WEBER MARKING SYSTEMS,940
INVITROGEN,949
JOHNS MANVILLE,952
PARCHEM,953
ITOCHU,956
WESTCON MEDICAL,961
MONDI,970
ROYAL WHOLESALE,978
MEDEGEN,980
BREVET,982
RED STAR YEAST,984
Z-GRAND MICRO TECH A,127479
CONNEAUT INDUSTRIES,987
CHEVRON,988
ABRACON,991
SEKISUI MEDICAL,993
CONNEMARA CONVERTING,994
CHAMPION CONTAINER,995
MASON CHEMICAL,996
COYNE CHEMICAL,997
KAPSTONE CONTAINER,1001
VICTORY PACKAGING,1002
SOLVAY,1004
ARPAC TECHNOLOGY,1005
KENT SYSTEMS,1006
DB ROBERTS,1007
FISHER CONTAINER,1008
CASELLA,1010
MONSON COMPANIES,1011
ATLANTIC RUBBER,1013
ITW FILTERTEK,1014
TESSY PLASTICS,1015
BOYD TECHNOLOGIES,1016
PTI ENGINEERED PLASTICS,1018
MEDPLAST,1020
MARCOR DEVELOPMENT,1021
KOWA,1027
TRANSCHEM,1029
OETIKER LTD,985
NELSON LABORATORIES,986
VENTION MEDICAL,1030
PORVAIR TECHNOLOGY,1032
PRECISION TOOL DIE,1033
POLYMER CONVERSIONS,1034
MONADNOCK,1035
FREUDENBERG FILTRATION TECHNOLOGIE,1040
MACK MOLDING,1041
MICRODYNE PLASTICS,1042
TE CONNECTIVITY,1045
DR REDDYS LABORATORIES,1048
PELICAN BIOTHERMAL,1067
INTEGRA BIOSCIENCES,1076
Z-KWG MOTORS LTD,127480
EMCURE PHARMACEUTICALS,1091
GETINGE LA CALHENE,1094
ROQUETTE,1095
MODERN INDUSTRIES,1096
TEVA,1099
ATLANTIS PACKAGING,1100
INTERNATIONAL PRECISION COMPONENTS,1101
SELF INDUSTRIES,1102
COLOR FOR PLASTIC,1104
TRELLEBORG SEALING SOLUTIONS,1112
MILLIPORE,1107
KDS,1109
PROMED MOLDING,1111
KINSTON FIBERS,1113
TRICOUNTY COTTON GROWERS,1114
ATLANTIC PACKAGING,1115
TJ BEALL,1116
POPPELMANN,1117
AMERICAN INTERNATIONAL CHEMICAL,1118
Z-SHANGHAI ZENDAI LTD,127482
DURAN GROUP,1120
Z-SHIMAO MICRO TECH LTD,127483
CLIFFORD PAPER,1123
VERITIV CORP,1127
HOVIONE,1129
CABOT,1132
MEDIATECH,1133
CENTURY FOAM,1135
BALCHEM CORPORATION,1139
ENZYME DEVELOPMENT,1141
KRATON,1142
SONNEBORN,1143
MAYZO,1144
APAC MANUFACTURING,1146
GENESEE POLYMERS,1147
NICOAT,1153
METAL STOCK,1155
SPINNAKER COATING,1156
TRELLEBORG PRODYN INC,1157
SUN CHEMICAL,1165
BOSCH,1166
UNITED STATES PLASTIC,1170
ULTRATECH INC,1171
ROYAL ADHESIVES & SEALANTS,1119
MCMASTER-CARR,1106
INTERNATIONAL PLASTICS,1174
FUJIFILM,1175
MK SERVICES,1176
PURITAN PRODUCTS,1177
KIMBLE CHASE,1178
LAGASSE SWEET,1179
SIEMENS,1180
MICROCHIP,1199
MULTI PACKAGING SOLUTIONS,1183
RENOLIT,1190
BIOCONNEXX,1191
VITALMED,1194
NPI MEDICAL,1195
J R HESS & COMPANY,1196
NEW ENGLAND RESINS,1197
CAREFUSION,1198
CODING,1202
DAIKYO SEIKO,1203
BROOK WAREHOUSING,1205
TOSHIBA,1212
NIPPON EXPRESS,1200
CYPRESS SEMICONDUCTOR,1219
JCOX,1236
SHOWA DENKO,1210
JSI,1217
CENTRAL CORP,1284
P_CONNECTICUT SPRING & STAMPING,134655
LINEAR,134522
VENTURE ELECTRONICS,1297
OKI ELECTRIC,1300
CRITERIA LABS,1309
MARCH DEVELOPMENT,1310
Z-TSE SUI LUEN (INT) LTD,127484
P_WESTROCK,134656
P_ROCKTENN,134657
TSC,1331
CUSCHRAFT,1337
CAREL INDUSTRIES,142932
